INTERFACE_TYPE,ITEM_CLASS,ITEM_CODE,ITEM_SPEC,ITEM_UNITS,ITEM_NAME,INSUR_CODE,INSUR_NAME,OPER,VSDATE,ORGAN_ID,INSUR_XZ,UPLOADPB,INSUR_LEVEL
GZYB,D,220201001,/,每个脏器,单脏器B超检查,60022020100100000000,单脏器B超检查,刘芳,,220201001,,,甲类
GZYB,D,220201001a,/,个,每增加一个脏器加收,60022020100101000000,单脏器B超检查（第二个起加收）,刘芳,,220201001a,,,甲类
GZYB,D,220201002a,/,每个部位,每增加一个部位加收,60022020100101000000,单脏器B超检查（第二个起加收）,刘芳,,220201002a,,,甲类
GZYB,D,220201002e,/,每个部位,妇科B超,60022020100200000000,B超常规检查,刘芳,,220201002e,,,甲类
GZYB,D,220201002g,/,每个部位,胃肠道B超,60022020100200000000,B超常规检查,刘芳,,220201002g,,,甲类
GZYB,D,220201003,/,次,胸腹水B超检查及穿刺定位,60022020100300000000,胸腹水B超检查及穿刺定位,刘芳,,220201003,,,甲类
GZYB,D,220201008,/,半小时,床旁B超检查,61022020100800000000,床旁B超检查,刘芳,,220201008,,,乙类
GZYB,D,220201009,/,半小时,临床操作的B超引导,60022020100900000000,临床操作的B超引导,刘芳,,220201009,,,甲类
GZYB,D,220202001,/,次,经阴道B超检查,60022020200100000000,经阴道B超检查,刘芳,,220202001,,,甲类
GZYB,D,220201006,/,次,输卵管超声造影,61022020100600000000,输卵管超声造影,刘芳,,220201006,,,乙类
GZYB,D,220202002,/,次,经直肠B超检查,60022020200200000000,经直肠B超检查,刘芳,,220202002,,,甲类
GZYB,D,220202003,/,半小时,临床操作的腔内B超引导,60022020200300000000,临床操作的腔内B超引导,刘芳,,220202003,,,甲类
GZYB,D,220203004,/,次,胎儿生物物理相评分,69022020300400000000,胎儿生物物理相评分,刘芳,,220203004,,,非医保
GZYB,D,220301001,/,每个部位,彩色多普勒超声常规检查,62022030100100000000,彩色多普勒超声常规检查,刘芳,,220301001,,,特殊检查
GZYB,D,2203010010,/,每个部位,产科彩超,62022030100100000000,彩色多普勒超声常规检查,刘芳,,2203010010,,,特殊检查
GZYB,D,220301001a,/,每个部位,胸部彩超,62022030100100000000,彩色多普勒超声常规检查,刘芳,,220301001a,,,特殊检查
GZYB,D,220301001b,/,每个部位,腹部彩超,62022030100100000000,彩色多普勒超声常规检查,刘芳,,220301001b,,,特殊检查
GZYB,D,220301001c,/,每个部位,泌尿系彩超,62022030100100000000,彩色多普勒超声常规检查,刘芳,,220301001c,,,特殊检查
GZYB,D,220301001d,/,每个部位,妇科彩超,62022030100100000000,彩色多普勒超声常规检查,刘芳,,220301001d,,,特殊检查
GZYB,D,220301001g,/,每个部位,每增加一个脏器加收20%,62022030100103000000,普通彩色多普勒超声检查（增加脏器加收）     ,刘芳,,220301001g,,,20%自付
GZYB,D,220301001f,/,每个部位,每增加一个部位加收50%,62022030100102000000,普通彩色多普勒超声检查（增加部位加收）     ,刘芳,,220301001f,,,20%自付
GZYB,D,220600010,/,次,左心功能测定,61022060001000000000,左心功能测定,刘芳,,220600010,,,乙类
GZYB,D,311201038,/,次,B超下卵巢囊肿穿刺术,60031120103800000000,B超下卵巢囊肿穿刺术,刘芳,,311201038,,,甲类
GZYB,D,220301001i,/,每个部位,彩色多普勒超声常规检查每增加一个部位加收50%,62022030100102000000,普通彩色多普勒超声检查（增加部位加收）     ,刘芳,,220301001i,,,20%自付
GZYB,D,220301001k,/,每个部位,胃肠道彩超,62022030100100000000,彩色多普勒超声常规检查,刘芳,,220301001k,,,特殊检查
GZYB,D,220301002,/,每个部位,浅表器官彩色多普勒超声检查,62022030100200000000,浅表器官彩色多普勒超声检查,刘芳,,220301002,,,特殊检查
GZYB,D,220302003a,/,次,颈部血管彩色多普勒超声,62022030200300000000,颈部血管彩色多普勒超声,刘芳,,220302003a,,,特殊检查
GZYB,D,220302006,/,次,四肢血管彩色多普勒超声,62022030200600000000,四肢血管彩色多普勒超声,刘芳,,220302006,,,特殊检查
GZYB,D,220302008,/,次,左肾静脉“胡桃夹”综合征检查,62022030200800000000,左肾静脉“胡桃夹”综合征检查,刘芳,,220302008,,,丙类
GZYB,D,220302011,/,次,腔内彩色多普勒超声检查,62022030201100000000,腔内彩色多普勒超声检查,刘芳,,220302011,,,特殊检查
GZYB,D,220302012,/,半小时,临床操作的彩色多普勒超声引导,62022030201200000000,临床操作的彩色多普勒超声引导,刘芳,,220302012,,,特殊检查
GZYB,D,220500001,/,每个脏器,脏器灰阶立体成像,69022050000100000000,脏器灰阶立体成像,刘芳,,220500001,,,非医保
GZYB,D,220500002,/,每个部位,能量图血流立体成像,69022050000200000000,能量图血流立体成像,刘芳,,220500002,,,非医保
GZYB,D,220600001a,/,次,普通心脏M型超声检查,61022060000100000000,普通心脏M型超声检查,刘芳,,220600001a,,,乙类
GZYB,D,210101002a,/,次,心脏透视检查,60021010100100000000,普通透视,兰慧,,210101002a,,,甲类
GZYB,D,210300002,/,每个部位,CT增强扫描,62021030000200000000,X线计算机体层(CT)增强扫描,兰慧,,210300002,,,特殊检查
GZYB,D,210300004,/,每个部位,CT三维成像,62021030000400000000,X线计算机体层(CT)成像,兰慧,,210300004,,,特殊检查
GZYB,D,270800004a,/,次,TCT检测技术,61027080000400000000,液基薄层细胞制片术,兰慧,,270800004a,,,乙类
GZYB,D,270300003a,/,每个,每增加一个蜡块加收,61027030000001000000,组织病理学检查与诊断（超过2个蜡块加收）,兰慧,,270300003a,,,乙类
GZYB,D,270400003,/,每个标本,特异性感染标本加收30元,60027030000300000000,局部切除组织活检检查与诊断,兰慧,,270400003,,,甲类
GZYB,D,310300072,/,次,马氏杆试验,60031030007200000000,马氏(Maddox)杆试验,兰慧,,310300072,,,甲类
GZYB,D,310503004,/,次,龈上菌斑检查,60031050300400000000,龈上菌斑检查,兰慧,,310503004,,,甲类
GZYB,D,310507001,/,次,错颌畸形初检,69031050700100000000,错畸形初检,兰慧,,310507001,,,非医保
GZYB,D,310507002,/,次,错颌畸形治疗设计,69031050700200000000,错畸形治疗设计,兰慧,,310507002,,,非医保
GZYB,D,310507007,/,次,错颌畸形正中颌位检查,69031050700700000000,错畸形正中位检查,兰慧,,310507007,,,非医保
GZYB,D,311400002a,/,次,特殊消毒费(手术）,6103100000000g000000,特殊消毒费（传染病患者手术加收）,兰慧,,311400002a,,,乙类
GZYB,D,311502001,/,次,套瓦注意力竞量测试,61031150200100000000,套瓦(TOVA)注意力竞量测试,兰慧,,311502001,,,乙类
GZYB,F,331202002a,/,次,阴囊血肿清除引流,60033120200200000000,阴囊脓肿引流术,兰慧,,331202002a,,,甲类
GZYB,F,331303001a,/,次,子宫内膜息肉切除术,60033130300100000000,宫颈息肉切除术,兰慧,,331303001a,,,甲类
GZYB,I,I00000021,668945,套,经外周插管的中心静脉导管,71012040001100050000,外周置入中心静脉导管,兰慧,,I00000021,,,乙类
GZYB,I,I00000022,7617405(4P),套,经外周插管的中心静脉导管,71012040001100050000,外周置入中心静脉导管,兰慧,,I00000022,,,乙类
GZYB,I,I00000023,7812400,套,经外周插管的中心静脉导管,71012040001100050000,外周置入中心静脉导管,兰慧,,I00000023,,,乙类
GZYB,I,I00000059,/,包,无损伤缝合线针A,71033000000000080000,无损伤缝合线,兰慧,,I00000059,,,乙类
GZYB,I,I00000055,4/0 VCP451H,盒,薇乔线,71033040000000050000,微乔可吸收线,兰慧,,I00000055,,,乙类
GZYB,I,I00000056,5/0 VCP433H,盒,薇乔线,71033040000000050000,微乔可吸收线,兰慧,,I00000056,,,乙类
GZYB,I,I00000057,6/0 Y432H,盒,薇乔线,71033040000000050000,微乔可吸收线,兰慧,,I00000057,,,乙类
GZYB,I,I00000087,4/0VCP310H 2/0VCP317H,根,薇乔线,71033040000000050000,微乔可吸收线,兰慧,,I00000087,,,乙类
GZYB,I,I00000058,5/0 VCP421H,盒,薇乔线,71033040000000050000,微乔可吸收线,兰慧,,I00000058,,,乙类
GZYB,I,I00000096,PT-1,套,一次性使用压力传感器,71031070102300010000,压力传感器,刘芳,,I00000096,,,乙类
GZYB,I,I00000063,HH8BEX,套,一次性B超引导旋切探针,71033160100201010000,一次性旋切探针,兰慧,,I00000063,,,甲类
GZYB,I,I00000130,3\5\12mm,把,一次性套管穿刺器,71031000000000060000,穿刺器,刘芳,,I00000130,,,乙类
GZYB,I,I00000065,1600ml,个,一次性闭式引流瓶,70012060000000070000,一次性胸腔闭式引流瓶,刘芳,,I00000065,,,甲类
GZYB,I,I00000137,15*450,个,医用弹力绷带,70033000000000480000,弹性绷带,兰慧,,I00000137,,,甲类
GZYB,J,1109000011,/,半日,三人间病房,60011090000100000000,病房床位费（限价）,刘芳,,1109000011,,,甲类
GZYB,J,110900001b,/,日,单人优质病房,60011090000100000000,病房床位费（限价）,刘芳,,110900001b,,,甲类
GZYB,I,I00000067,/,支,一次性导尿管B,70033110000000030000,一次性导尿管,兰慧,,I00000067,,,甲类
GZYB,I,I00000068,/,支,一次性导尿管A,70033110000000030000,一次性导尿管,兰慧,,I00000068,,,甲类
GZYB,J,110900001h,/,日,3-4人间标准病房,60011090000100000000,病房床位费（限价）,刘芳,,110900001h,,,甲类
GZYB,J,1109000010,/,日,一般普通病房床位费(母婴同室),60011090000100000000,病房床位费（限价）,刘芳,,1109000010,,,甲类
GZYB,I,I00000073,M,套,一次性使用雾化器,70012060000000120000,雾化器,兰慧,,I00000073,,,甲类
GZYB,I,I00000116,/,包,吸收性明胶海绵,70031050000000030000,明胶海棉,刘芳,,I00000116,,,甲类
GZYB,I,I00000106,/,根,硅胶吸痰管,70012010001100010000,一次性吸痰管,兰慧,,I00000106,,,甲类
GZYB,I,I00000077,/,根,硬膜外麻醉PVC导管,70033010000300030000,一次性硬膜外麻醉导管,兰慧,,I00000077,,,甲类
GZYB,I,I00000081,笔型 密闭式24G,支,静脉留置针,71012040000000240000,留置针（套管针）,刘芳,,I00000081,,,乙类
GZYB,I,I00000112,/,只,输氧面罩B,71012030000100050000,吸氧面罩（10元以上）,兰慧,,I00000112,,,乙类
GZYB,I,I00000082,24G,支,静脉留置针A,71012040000000240000,留置针（套管针）,刘芳,,I00000082,,,乙类
GZYB,I,I00000108,爱惜捷2/0,根,可吸收性外科缝线,71033000000000060000,可吸收缝合线,兰慧,,I00000108,,,乙类
GZYB,I,I00000083,18G笔型,支,静脉留置针,71012040000000240000,留置针（套管针）,刘芳,,I00000083,,,乙类
GZYB,I,I00000103,无针密闭式,支,分隔膜无针密闭式输液接头,70012040000000290000,一次性输液连接管（输液接头）,兰慧,,I00000103,,,甲类
GZYB,I,I00000078,/,支,子宫造影通水管,70021010300000090000,子宫造影导管,刘芳,,I00000078,,,甲类
GZYB,Z,110600001a1,/,公里,救护车费每超过1KM加收,69011060000100000000,救护车费,刘芳,,110600001a1,,,非医保
GZYB,J,110900001n,/,日,双人间普通病房,60011090000100000000,病房床位费（限价）,刘芳,,110900001n,,,甲类
GZYB,Z,110600001a,/,公里,救护车费每超过100KM加收,69011060000100000000,救护车费,刘芳,,110600001a,,,非医保
GZYB,J,110900004,/,日,特殊防护病房床位费,61011090000400000000,特殊防护病房床位费,兰慧,,110900004,,,乙类
GZYB,J,110900001l,/,日,3-4人间普通病房,60011090000100000000,病房床位费（限价）,刘芳,,110900001l,,,甲类
GZYB,J,110900005c,/,半日,急诊观察床位费D,61011090000500000000,急诊观察床位费,兰慧,,110900005c,,,乙类
GZYB,J,110900005b,/,日,急诊观察床位费C,61011090000500000000,急诊观察床位费,兰慧,,110900005b,,,乙类
GZYB,J,110900005a,/,日,急诊观察床位费B,61011090000500000000,急诊观察床位费,兰慧,,110900005a,,,乙类
GZYB,J,110900005,/,半日,急诊观察床位费A,61011090000500000000,急诊观察床位费,刘芳,,110900005,,,乙类
GZYB,J,110900002,/,日,层流洁净病房床位费,61011090000200000000,层流洁净病房床位费,兰慧,,110900002,,,乙类
GZYB,E,310519018,/,次,加连接杆,69031051901800000000,加连接杆,兰慧,,310519018,,,非医保
GZYB,E,310519017,/,次,增加加固装置,69031051901700000000,增加加固装置,兰慧,,310519017,,,非医保
GZYB,I,I00000049,/,根,单腔乳胶无菌导尿管,70012160000100030000,一次性单腔导尿管,刘芳,,I00000049,,,甲类
GZYB,I,I00000071,/,根,一次性使用气管插管,70012010001000020000,气管插管（支气管插管）,刘芳,,I00000071,,,甲类
GZYB,D,220600002,/,次,普通二维超声心动图,61022060000200000000,普通二维超声心动图,刘芳,,220600002,,,乙类
GZYB,E,310513001,/,每牙,洁治,69031051300100000000,洁治,兰慧,,310513001,,,非医保
GZYB,E,310513002,/,每牙,龈下刮治,69031051300200000000,龈下刮治,兰慧,,310513002,,,非医保
GZYB,E,310513003,/,每牙,牙周固定,60031051300300000000,牙周固定,兰慧,,310513003,,,甲类
GZYB,E,310513004,/,每牙,去除牙周固定,60031051300400000000,去除牙周固定,兰慧,,310513004,,,甲类
GZYB,E,310513005,/,每牙,牙面光洁术,69031051300500000000,牙面光洁术,兰慧,,310513005,,,非医保
GZYB,E,310513006,/,每牙,牙龈保护剂塞治,60031051300600000000,牙龈保护剂塞治,兰慧,,310513006,,,甲类
GZYB,E,310513007,/,每牙,急性坏死性龈炎局部清创,60031051300700000000,急性坏死性龈炎局部清创,兰慧,,310513007,,,甲类
GZYB,E,310513008,/,每牙,根面平整术,60031051300800000000,根面平整术,兰慧,,310513008,,,甲类
GZYB,E,310514001,/,次,口腔粘膜病系统治疗设计,60031051400100000000,口腔粘膜病系统治疗设计,兰慧,,310514001,,,甲类
GZYB,E,310514002,/,次,口腔粘膜雾化治疗,60031051400200000000,口腔粘膜雾化治疗,兰慧,,310514002,,,甲类
GZYB,E,310514003,/,每部位,口腔粘膜病特殊治疗,61031051400300000000,口腔粘膜病特殊治疗,兰慧,,310514003,,,乙类
GZYB,E,310515001,/,次,颞下颌关节复位,60031051500100000000,颞下颌关节复位,兰慧,,310515001,,,甲类
GZYB,E,310515002,/,每牙,冠周炎局部治疗,60031051500200000000,冠周炎局部治疗,兰慧,,310515002,,,甲类
GZYB,E,310515003,/,每牙,干槽症换药,60031051500300000000,干槽症换药,兰慧,,310515003,,,甲类
GZYB,E,310515004,/,次,涎腺导管扩大术,60031051500400000000,涎腺导管扩大术,兰慧,,310515004,,,甲类
GZYB,E,310516001,/,单侧,颞颌关节腔内封闭治疗,60031051600100000000,颞颌关节腔内封闭治疗,兰慧,,310516001,,,甲类
GZYB,E,310516002,/,单侧,关节腔灌洗治疗,60031051600200000000,关节腔灌洗治疗,兰慧,,310516002,,,甲类
GZYB,E,310516003,/,每次,调磨颌垫,60031051600300000000,调磨垫,兰慧,,310516003,,,甲类
GZYB,E,310517001,/,每牙,冠修复(临时冠),69031051700100000000,冠修复,兰慧,,310517001,,,非医保
GZYB,E,310517001a,/,每牙,冠修复(塑料冠),69031051700100000000,冠修复,兰慧,,310517001a,,,非医保
GZYB,E,310517001b,/,每牙,冠修复(铸造冠),69031051700100000000,冠修复,兰慧,,310517001b,,,非医保
GZYB,E,310517001c,/,每牙,冠修复(镍铬烤瓷冠),69031051700100000000,冠修复,兰慧,,310517001c,,,非医保
GZYB,E,310517001d,/,每牙,冠修复(种植体冠),69031051700100000000,冠修复,兰慧,,310517001d,,,非医保
GZYB,E,310517002,/,每牙,嵌体修复,69031051700200000000,嵌体修复,兰慧,,310517002,,,非医保
GZYB,E,310517003,/,每牙,桩核根帽修复,69031051700300000000,桩核根帽修复,兰慧,,310517003,,,非医保
GZYB,E,310517004,/,每牙,贴面修复,69031051700400000000,贴面修复,兰慧,,310517004,,,非医保
GZYB,E,310517005,/,每牙,桩冠修复,69031051700500000000,桩冠修复,兰慧,,310517005,,,非医保
GZYB,E,310517006,/,每牙,固定桥,69031051700600000000,固定桥,兰慧,,310517006,,,非医保
GZYB,E,310517008,/,次,咬颌重建,YB00310517008,咬？重建,兰慧,,310517008,,,非医保
GZYB,E,310518002,/,每牙,塑料可摘局部义齿,69031051800200000000,塑料可摘局部义齿（第一牙）,兰慧,,310518002,,,非医保
GZYB,E,310518006,/,每牙,附着体义齿,69031051800600000000,附着体义齿,兰慧,,310518006,,,非医保
GZYB,E,310518004,/,每牙,美容义齿,69031051800400000000,美容义齿,兰慧,,310518004,,,非医保
GZYB,E,310518003,/,每牙,铸造可摘局部义齿,69031051800300000000,铸造可摘局部义齿（第一牙）,兰慧,,310518003,,,非医保
GZYB,E,310517009,/,每牙,粘结,69031051700900000000,粘结,兰慧,,310517009,,,非医保
GZYB,E,310518001,/,每牙,活动桥,69031051800100000000,活动桥,兰慧,,310518001,,,非医保
GZYB,E,310518007,/,单颌,总义齿,69031051800700000000,总义齿,兰慧,,310518007,,,非医保
GZYB,E,310518005,/,每牙,即刻义齿,69031051800500000000,即刻义齿,兰慧,,310518005,,,非医保
GZYB,E,310519001,/,每牙,拆冠桥,69031051900100000000,拆冠桥,兰慧,,310519001,,,非医保
GZYB,E,310519002,/,每牙,拆桩,69031051900200000000,拆桩,兰慧,,310519002,,,非医保
GZYB,E,310519004,/,每牙,加装饰面,69031051900400000000,加装饰面,兰慧,,310519004,,,非医保
GZYB,E,310519005,/,每牙,烤瓷冠崩瓷修理,69031051900500000000,烤瓷冠崩瓷修理,兰慧,,310519005,,,非医保
GZYB,E,310519006,/,次,调改义齿,69031051900600000000,调改义齿,兰慧,,310519006,,,非医保
GZYB,E,310519007,/,次,取局部颌关系记录,69031051900700000000,取局部_关系记录,兰慧,,310519007,,,非医保
GZYB,E,310519008,/,次,取正中颌关系记录,69031051900800000000,取正中_关系记录,兰慧,,310519008,,,非医保
GZYB,E,310519009,/,每牙,加人工牙,69031051900900000000,加人工牙,兰慧,,310519009,,,非医保
GZYB,E,310519010,/,次,义齿接长基托,69031051901000000000,义齿接长基托,兰慧,,310519010,,,非医保
GZYB,E,310519012,/,每厘米,义齿组织面重衬,69031051901200000000,义齿组织面重衬,兰慧,,310519012,,,非医保
GZYB,E,310519011,/,次,义齿裂纹及折裂修理,69031051901100000000,义齿裂纹及折裂修理,兰慧,,310519011,,,非医保
GZYB,E,310519013,/,每卡环,加卡环,69031051901300000000,加卡环,兰慧,,310519013,,,非医保
GZYB,Z,110100001c,/,次,初诊建病历,69011010000101000000,门诊病历手册,兰慧,,110100001c,,,非医保
GZYB,J,110900001q,/,日,病房躺椅床费,61011090000500000000,急诊观察床位费,刘芳,,110900001q,,,乙类
GZYB,J,1109000033,/,半日,监护病房床位费(半日),61011090000301000000,监护病房床位费（半天）,刘芳,,1109000033,,,甲类
GZYB,J,110900001b0,/,日,双人间抢救室,60011090000100000000,病房床位费（限价）,刘芳,,110900001b0,,,甲类
GZYB,J,110900003,/,日,监护病房床位费(日),61011090000300000000,监护病房床位费,刘芳,,110900003,,,乙类
GZYB,J,110900001b1,/,日,双人间病房(日),60011090000100000000,病房床位费（限价）,兰慧,,110900001b1,,,甲类
GZYB,J,110900001c,/,日,单人高档型病房A,69011090000101000000,病房床位费（超限价部分）,刘芳,,110900001c,,,非医保
GZYB,J,110900001o,/,日,单人高档型病房F,69011090000101000000,病房床位费（超限价部分）,刘芳,,110900001o,,,非医保
GZYB,I,I00000138,/,支,医用几丁糖凝胶,YB05043000176,医用几丁糖,兰慧,,I00000138,,,非医保
GZYB,J,110900001r,/,日,单人高档型病房B,69011090000101000000,病房床位费（超限价部分）,刘芳,,110900001r,,,非医保
GZYB,J,110900001d,/,日,单人高档型病房D,69011090000101000000,病房床位费（超限价部分）,刘芳,,110900001d,,,非医保
GZYB,Z,140100003a,/,日,婴幼儿尸体存放,69014010000300000000,尸体存放,兰慧,,140100003a,,,非医保
GZYB,J,110900001s,/,日,单人高档型病房C,69011090000101000000,病房床位费（超限价部分）,刘芳,,110900001s,,,非医保
GZYB,Z,140100004a,/,次,死婴处理,69014010000400000000,离体残肢处理,兰慧,,140100004a,,,非医保
GZYB,J,110900001b4,/,日,母婴同室(二人）,60011090000100000000,病房床位费（限价）,刘芳,,110900001b4,,,甲类
GZYB,J,110900001bb,/,日,母婴同室抢救室,60011090000100000000,病房床位费（限价）,刘芳,,110900001bb,,,甲类
GZYB,J,110900001g,/,日,单人高档型病房E,69011090000101000000,病房床位费（超限价部分）,刘芳,,110900001g,,,非医保
GZYB,D,110500005,/,次,孕期保健卡(含13次挂号诊查费及产检费和4次副主任诊查费）,69011050000100000000,体检费,兰慧,,110500005,,,非医保
GZYB,J,110900001k,/,日,病房走廊加床费,60011090000100000000,病房床位费（限价）,刘芳,,110900001k,,,甲类
GZYB,J,110900001e,/,日,母婴同室(三人）,60011090000100000000,病房床位费（限价）,刘芳,,110900001e,,,甲类
GZYB,J,110900001m,/,半日,双人间病房(半日),60011090000100000000,病房床位费（限价）,刘芳,,110900001m,,,甲类
GZNH,E,120300001,/,小时,氧气吸入,2,部分支付,兰慧,,,,,
GZNH,E,120300001a,/,小时,高频给氧加收费,2,部分支付,兰慧,,,,,
GZNH,E,120300001b,/,20分钟,创面氧合治疗,2,部分支付,兰慧,,,,,
GZNH,E,120300002,/,袋,氧气袋,2,部分支付,兰慧,,,,,
GZNH,E,120400001,/,次,肌肉注射,1,予以支付,兰慧,,,,,
GZNH,E,120400001a,/,次,皮下注射,1,予以支付,兰慧,,,,,
GZNH,E,120400001b,/,次,皮内注射,1,予以支付,兰慧,,,,,
GZNH,E,120400001e,/,次,快速过敏皮试试验,1,予以支付,兰慧,,,,,
GZNH,E,120400002,/,次,静脉注射,1,予以支付,兰慧,,,,,
GZNH,E,120400002a,/,次,小儿静脉注射,1,予以支付,兰慧,,,,,
GZNH,E,120400002b,/,次,静脉采血,1,予以支付,兰慧,,,,,
GZNH,E,120400003,/,次,心内注射,1,予以支付,兰慧,,,,,
GZNH,E,120400004,/,次,动脉加压注射,1,予以支付,兰慧,,,,,
GZNH,E,120400004a,/,次,动脉采血,1,予以支付,兰慧,,,,,
GZNH,E,120400005,/,组,皮下输液,1,予以支付,兰慧,,,,,
GZNH,E,120400006,/,组,静脉输液,1,予以支付,兰慧,,,,,
GZNH,E,120400006a,/,组,输血,1,予以支付,刘芳,,,,,
GZNH,E,120400006b,/,组,输液加组,1,予以支付,兰慧,,,,,
GZNH,E,120400006d,/,小时,微量泵输液,1,予以支付,兰慧,,,,,
GZNH,E,120400007,/,组,小儿头皮静脉输液,1,予以支付,兰慧,,,,,
GZNH,E,120400008,/,次,静脉高营养治疗,1,予以支付,兰慧,,,,,
GZNH,E,120400009,/,次,静脉切开置管术,1,予以支付,兰慧,,,,,
GZNH,E,120400010,/,次,静脉穿刺置管术,1,予以支付,兰慧,,,,,
GZNH,E,120400011,/,次,中心静脉穿刺置管术,1,予以支付,兰慧,,,,,
GZNH,E,120400011a,/,次,深静脉穿刺置管术,1,予以支付,兰慧,,,,,
GZNH,E,120400011b,/,次,深静脉穿刺术,1,予以支付,兰慧,,,,,
GZNH,E,120400012,/,次,动脉穿刺置管术,1,予以支付,兰慧,,,,,
GZNH,E,120400013,/,种,抗肿瘤化学药物配置,1,予以支付,兰慧,,,,,
GZNH,E,120500001,/,次,大清创缝合,1,予以支付,兰慧,,,,,
GZNH,E,120500002,/,次,中清创缝合,1,予以支付,兰慧,,,,,
GZNH,E,120500003,/,次,小清创缝合,1,予以支付,兰慧,,,,,
GZNH,E,120600001,/,次,特大换药,1,予以支付,兰慧,,,,,
GZNH,E,120600002,/,次,大换药,1,予以支付,兰慧,,,,,
GZNH,E,120600003,/,次,中换药,1,予以支付,兰慧,,,,,
GZNH,A,150101002190,10ml山东圣鲁,支,0.9％氯化钠注射液,1,予以支付,罗爱群,,,,,
GZNH,A,150101002190,100ml四川科伦,瓶,0.9％氯化钠注射液,1,予以支付,罗爱群,,,,,
GZNH,A,150101002190,500ml四川科伦,瓶,0.9％氯化钠注射液,1,予以支付,罗爱群,,,,,
GZNH,A,150101002190,250ml四川科伦,瓶,0.9％氯化钠注射液,1,予以支付,罗爱群,,,,,
GZNH,A,150101002190,50ml四川科伦,瓶,0.9％氯化钠注射液,1,予以支付,罗爱群,,,,,
GZNH,A,150101002190,10ml*5河南康华,盒,0.9％氯化钠注射液,1,予以支付,罗爱群,,,,,
GZNH,A,150101002190,10ml*5山东圣鲁,盒,0.9％氯化钠注射液,1,予以支付,罗爱群,,,,,
GZNH,A,150101002190,10ml河南康华,支,0.9％氯化钠注射液,1,予以支付,罗爱群,,,,,
GZNH,A,150101004190,10ml正大天晴,支,10％氯化钠注射液▲,1,予以支付,罗爱群,,,,,
GZNH,A,150101004190,10ml*5正大天晴,盒,10％氯化钠注射液▲,1,予以支付,罗爱群,,,,,
GZNH,A,150301006190,100ml四川科伦,瓶,10％葡萄糖注射液,1,予以支付,罗爱群,,,,,
